spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_inc_1_material,layer_3_inc_1_shape,layer_3_inc_1_fraction,layer_3_matrix_fraction
36,487.15328190696033,0.07858284126432791,0.06850639688222322,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,487.58088764364095,0.07892227979274612,0.06857441875493787,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,488.0084826535664,0.07901369863013699,0.06864298132860305,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,488.4360669367366,0.07940156409384563,0.06871176871000594,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,488.8636404931517,0.08051665533650577,0.06878119548696884,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,489.29120332281155,0.08026854649211144,0.06885054654264819,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,489.71875542571627,0.08125416944629754,0.06891999152553799,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,490.1462968018658,0.08162018592297478,0.0689893737318468,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,490.5738274512601,0.08266842800528403,0.06905763570054697,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,491.0013473738993,0.08130505709624797,0.06912498982366837,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
