spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_inc_1_material,layer_1_inc_1_shape,layer_1_inc_1_fraction,layer_1_inc_2_material,layer_1_inc_2_shape,layer_1_inc_2_fraction,layer_1_matrix_fraction
3,787.2134726430027,0.3586097031136858,0.34835902746437714,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,787.6334838370133,0.3588902141782918,0.34847853660958683,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,788.0534843042687,0.3591947146647246,0.34859775388106273,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,788.4734740447691,0.35959153902261126,0.348717309168522,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,788.8934530585142,0.3586277372262774,0.34883619713422526,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,789.3134213455041,0.35810318743805103,0.3489551127442341,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,789.7333789057388,0.3584152404877794,0.3490736355194224,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,790.1533257392184,0.35856093979442,0.34919134661810486,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,790.5732618459426,0.35791815320041975,0.34930939260932653,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,790.9931872259119,0.35808301330948505,0.3494253813835482,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,791.4131018791259,0.35889388251467247,0.3495417803790952,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,791.8330058055847,0.3593684433612377,0.3496579902694163,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,792.2528990052883,0.3595589482612384,0.3497743142728248,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,792.6727814782367,0.35998085411902364,0.3498912283526612,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,793.09265322443,0.3610065715659561,0.3500089638348327,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,793.512514243868,0.36078364200835034,0.350127180783229,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,793.932364536551,0.35943837084673097,0.35024566083556163,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,794.3522041024787,0.3597955560337871,0.3503646166193564,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,794.7720329416512,0.3599244427653948,0.3504835428506598,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,795.1918510540686,0.36029645658642145,0.3506025266697084,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,795.6116584397307,0.3592087341908983,0.3507217325283803,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,796.0314550986377,0.35972506359257456,0.3508400054014162,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,796.4512410307894,0.3590265055016532,0.35095880965894705,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,796.871016236186,0.35987174610075545,0.35107611679803846,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,797.2907807148274,0.3593579628924316,0.3511934548680151,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
