sampCu9		
Wavelength (nm)	%T	
447	7.531716824	
446	7.298061371	
445	7.664349079	
444	7.047151566	
443	7.245449543	
442	7.090432167	
441	7.476458073	
440	7.548473835	
439	7.490753174	
438	7.944286823	
437	7.454901695	
436	7.865080357	
435	7.339592934	
434	8.056536674	
433	7.600826263	
432	7.868169785	
431	8.083218575	
430	7.86211729	
429	8.066503525	
428	8.212679863	
427	7.803359509	
426	7.894864559	
425	7.80402565	
424	8.270326614	
423	7.485145569	
422	7.732710838	
421	8.265750885	
420	7.697244644	
419	7.823936462	
418	8.225948334	
417	7.860256672	
416	7.970264435	
415	7.331142426	
414	7.390728474	
413	7.903002262	
412	8.022233963	
411	8.316545486	
410	8.938607216	
409	9.012218475	
408	7.608278275	
407	8.348544121	
406	8.492055893	
405	9.037822723	
404	9.38035202	
403	8.434080124	
402	7.535699844	
401	7.813483238	
400	9.526418686	
399	8.529103279	
398	8.15824604	
397	8.340109825	
396	9.992185593	
395	8.632059097	
394	9.004450798	
393	8.546886444	
392	10.26942635	
391	9.725456238	
390	8.176897049	
389	8.549393654	
388	9.407917976	
387	11.24560642	
386	8.166694641	
385	9.170086861	
384	9.011569977	
383	9.566056252	
382	9.558855057	
381	9.494819641	
380	9.878520966	
379	7.535723686	
378	10.12153435	
377	10.14184761	
376	9.616410255	
375	8.388831139	
374	9.766774178	
373	10.2317934	
372	9.728114128	
371	9.977982521	
370	10.65929413	
369	10.08295918	
368	11.3734169	
367	9.952980042	
366	12.06580544	
365	10.28433609	
364	11.8011837	
363	10.48243904	
362	11.20576477	
361	11.63660908	
360	10.80196381	
359	12.31621933	
358	12.24738312	
357	13.79362774	
356	13.47628403	
355	13.81295013	

